Date,Price,Open,High,Low
2013-10-11,140.1,140.4,141.9,138.9
2013-10-12,142.9,140.1,143.1,139.4
2013-10-13,147.5,142.9,147.6,141.5
2013-10-14,151.4,147.5,153.7,146.0
2013-10-15,158.1,151.4,158.1,150.6
2013-10-16,152.8,158.1,163.0,144.2
2013-10-17,157.6,152.8,159.9,150.8
2013-10-18,168.3,157.6,168.3,156.5
2013-10-19,183.1,168.3,195.8,167.1
2013-10-20,186.1,183.1,186.1,177.2
2013-10-21,192.8,186.1,197.4,183.2
2013-10-22,203.0,192.8,205.5,192.8
2013-10-23,228.0,203.0,228.0,200.7
2013-10-24,207.0,228.0,233.4,175.3
2013-10-25,197.9,207.0,209.0,176.6
2013-10-26,188.6,197.9,198.4,187.0
2013-10-27,206.9,188.6,207.8,188.9
2013-10-28,206.9,206.9,209.8,200.4
2013-10-29,216.0,206.9,216.5,204.2
2013-10-30,208.0,216.0,216.5,204.0
2013-10-31,211.2,208.0,215.0,205.4
2013-11-01,213.4,211.2,214.9,209.7
2013-11-02,211.7,213.4,214.9,211.0
2013-11-03,224.0,211.7,226.9,212.1
2013-11-04,238.2,224.0,239.0,221.9
2013-11-05,251.3,238.2,258.9,229.0
2013-11-06,264.1,251.3,272.5,251.4
2013-11-07,309.6,264.1,324.2,263.6
2013-11-08,355.0,309.6,358.0,308.0
2013-11-09,367.8,355.0,395.0,340.0
2013-11-10,336.3,367.8,372.5,290.0
2013-11-11,363.0,336.3,376.0,321.4
2013-11-12,380.0,363.0,391.8,359.0
2013-11-13,434.9,380.0,445.0,372.2
2013-11-14,433.4,434.9,447.5,402.5
2013-11-15,433.9,433.4,457.9,413.0
2013-11-16,462.0,433.9,476.9,428.0
2013-11-17,528.3,462.0,536.8,457.0
2013-11-18,785.4,528.3,787.9,522.0
2013-11-19,645.7,785.4,900.9,502.6
2013-11-20,638.0,645.7,650.0,453.3
2013-11-21,764.9,638.0,784.3,595.2
2013-11-22,802.0,764.9,822.0,682.3
2013-11-23,832.5,802.0,890.0,799.5
2013-11-24,795.0,832.5,855.0,745.2
2013-11-25,830.0,795.0,850.0,759.0
2013-11-26,970.0,830.0,975.0,825.1
2013-11-27,1079.9,970.0,1094.8,914.3
2013-11-28,1101.4,1079.9,1224.5,1032.1
2013-11-29,1206.9,1101.4,1241.9,1050.0
2013-11-30,1205.7,1206.9,1232.9,1150.2
2013-12-01,1004.4,1205.7,1216.8,840.3
2013-12-02,1096.6,1004.4,1117.7,975.0
2013-12-03,1154.9,1096.6,1185.6,1064.9
2013-12-04,1237.6,1154.9,1239.7,1131.3
2013-12-05,1106.3,1237.6,1239.9,870.0
2013-12-06,845.0,1106.3,1118.9,800.1
2013-12-07,697.0,845.0,896.0,576.0
2013-12-08,804.0,697.0,829.0,653.0
2013-12-09,919.0,804.0,980.0,787.7
2013-12-10,1033.7,919.0,1067.7,912.0
2013-12-11,919.9,1033.7,1056.8,856.1
2013-12-12,900.0,919.9,941.0,839.5
2013-12-13,936.8,900.0,989.9,882.1
2013-12-14,908.9,936.8,947.9,875.1
2013-12-15,919.9,908.9,927.9,838.0
2013-12-16,759.9,919.9,924.9,714.0
2013-12-17,715.0,759.9,780.0,678.9
2013-12-18,541.0,715.0,717.0,454.9
2013-12-19,732.0,541.0,746.0,522.4
2013-12-20,650.0,732.0,774.4,621.3
2013-12-21,640.5,650.0,690.0,610.0
2013-12-22,639.5,640.5,699.9,615.0
2013-12-23,713.2,639.5,724.9,631.0
2013-12-24,702.8,713.2,729.9,666.0
2013-12-25,707.3,702.8,710.0,673.9
2013-12-26,802.0,707.3,829.6,707.2
2013-12-27,803.0,802.0,836.8,767.9
2013-12-28,762.0,803.0,806.0,715.6
2013-12-29,785.0,762.0,804.0,735.0
2013-12-30,804.8,785.0,818.8,781.0
2013-12-31,805.9,804.8,813.9,777.0
2014-01-01,815.9,805.9,829.9,771.0
2014-01-02,856.9,815.9,886.2,810.5
2014-01-03,884.3,856.9,888.2,839.4
2014-01-04,924.7,884.3,932.2,848.3
2014-01-05,1014.7,924.7,1029.9,911.4
2014-01-06,1012.7,1014.7,1093.4,964.7
2014-01-07,879.9,1012.7,1044.0,879.8
2014-01-08,938.8,879.9,966.9,858.9
2014-01-09,937.0,938.8,964.6,866.5
2014-01-10,957.8,937.0,964.8,905.9
2014-01-11,1005.3,957.8,1010.8,935.0
2014-01-12,939.8,1005.3,1022.7,922.1
2014-01-13,922.9,939.8,949.2,879.9
2014-01-14,919.3,922.9,942.5,904.2
2014-01-15,941.2,919.3,973.1,915.1
2014-01-16,913.5,941.2,955.5,910.5
2014-01-17,894.2,913.5,929.8,867.2
2014-01-18,905.7,894.2,924.7,884.7
2014-01-19,954.8,905.7,958.1,901.9
2014-01-20,956.0,954.8,980.5,926.0
2014-01-21,962.2,956.0,974.3,943.2
2014-01-22,951.0,962.2,973.9,935.0
2014-01-23,944.2,951.0,958.1,936.3
2014-01-24,916.5,944.2,949.5,902.9
2014-01-25,961.0,916.5,978.4,915.9
2014-01-26,1007.0,961.0,1038.1,950.7
2014-01-27,943.5,1007.0,1021.5,937.2
2014-01-28,932.7,943.5,972.6,911.7
2014-01-29,925.7,932.7,950.6,918.9
2014-01-30,941.4,925.7,953.2,909.5
2014-01-31,938.8,941.4,954.7,924.6
2014-02-01,940.4,938.8,969.2,927.8
2014-02-02,953.3,940.4,959.4,934.4
2014-02-03,931.7,953.3,959.6,931.7
2014-02-04,926.6,931.7,949.1,900.8
2014-02-05,904.5,926.6,939.8,890.0
2014-02-06,828.9,904.5,908.8,800.9
2014-02-07,695.7,828.9,833.1,651.7
2014-02-08,648.8,695.7,719.3,632.1
2014-02-09,659.6,648.8,694.1,622.5
2014-02-10,582.6,659.6,700.0,500.0
2014-02-11,579.0,582.6,609.7,550.2
2014-02-12,531.1,579.0,585.1,511.9
2014-02-13,451.4,531.1,549.2,451.3
2014-02-14,427.7,451.4,500.0,302.2
2014-02-15,371.1,427.7,447.9,310.1
2014-02-16,299.8,371.1,540.0,220.4
2014-02-17,272.3,299.8,411.2,263.4
2014-02-18,294.0,272.3,370.1,248.3
2014-02-19,261.5,294.0,308.6,257.2
2014-02-20,111.9,261.5,271.6,109.2
2014-02-21,111.6,111.9,160.1,91.7
2014-02-22,255.6,111.6,290.6,96.7
2014-02-23,310.2,255.6,349.1,220.3
2014-02-24,174.0,310.2,316.9,131.9
2014-02-25,135.8,174.0,174.6,102.3
2014-02-26,593.1,135.8,650.0,522.8
2014-02-27,596.5,593.1,629.9,580.5
2014-02-28,573.9,596.5,599.0,570.0
2014-03-01,557.4,573.9,564.1,262.8
2014-03-02,544.6,557.4,562.9,541.5
2014-03-03,662.2,544.6,695.4,545.4
2014-03-04,661.8,662.2,686.2,645.2
2014-03-05,658.3,661.8,666.0,636.8
2014-03-06,648.3,658.3,661.8,636.2
2014-03-07,616.7,648.3,655.2,600.3
2014-03-08,609.2,616.7,625.7,588.6
2014-03-09,627.0,609.2,637.6,598.5
2014-03-10,613.0,627.0,633.7,594.7
2014-03-11,608.7,613.0,619.7,599.9
2014-03-12,619.4,608.7,640.8,608.2
2014-03-13,625.0,619.4,636.1,616.1
2014-03-14,614.0,625.0,631.2,610.6
2014-03-15,624.0,614.0,628.8,609.2
2014-03-16,619.1,624.0,627.3,613.2
2014-03-17,606.4,619.1,622.5,602.7
2014-03-18,598.9,606.4,611.7,585.7
2014-03-19,595.0,598.9,607.1,590.1
2014-03-20,566.0,595.0,598.4,560.3
2014-03-21,549.6,566.0,587.4,540.2
2014-03-22,564.3,549.6,570.0,537.2
2014-03-23,551.2,564.3,564.3,538.6
2014-03-24,567.6,551.2,572.5,531.3
2014-03-25,562.9,567.6,569.7,550.4
2014-03-26,562.5,562.9,575.4,546.3
2014-03-27,460.5,562.5,567.8,460.5
2014-03-28,482.6,460.5,515.0,453.8
2014-03-29,477.1,482.6,494.3,473.8
2014-03-30,446.9,477.1,479.0,424.0
2014-03-31,444.7,446.9,473.4,422.5
2014-04-01,463.5,444.7,487.4,438.0
2014-04-02,424.4,463.5,480.3,409.3
2014-04-03,436.3,424.4,448.7,386.7
2014-04-04,444.4,436.3,456.5,415.5
2014-04-05,456.6,444.4,461.2,439.4
2014-04-06,455.7,456.6,472.4,446.3
2014-04-07,462.4,455.7,485.1,448.0
2014-04-08,466.6,462.4,480.7,457.6
2014-04-09,457.3,466.6,479.7,451.1
2014-04-10,384.6,457.3,463.5,384.6
2014-04-11,435.1,384.6,450.4,355.7
2014-04-12,437.6,435.1,469.8,428.0
2014-04-13,427.6,437.6,454.1,409.9
2014-04-14,478.4,427.6,497.8,420.1
2014-04-15,526.4,478.4,526.6,466.4
2014-04-16,537.0,526.4,549.0,496.1
2014-04-17,502.0,537.0,537.0,486.9
2014-04-18,485.5,502.0,512.2,472.0
2014-04-19,506.0,485.5,516.9,473.2
2014-04-20,498.5,506.0,522.2,488.7
2014-04-21,495.2,498.5,524.7,490.7
2014-04-22,487.9,495.2,520.5,483.4
2014-04-23,487.3,487.9,510.0,482.3
2014-04-24,500.3,487.3,507.3,477.2
2014-04-25,464.5,500.3,502.5,438.3
2014-04-26,457.9,464.5,468.7,448.6
2014-04-27,443.2,457.9,461.4,437.4
2014-04-28,441.9,443.2,451.1,420.8
2014-04-29,446.1,441.9,453.8,430.7
2014-04-30,445.6,446.1,452.6,430.9
2014-05-01,460.1,445.6,464.5,444.5
2014-05-02,453.7,460.1,463.4,442.0
2014-05-03,438.6,453.7,454.2,429.1
2014-05-04,436.0,438.6,446.6,428.8
2014-05-05,430.9,436.0,443.9,426.4
2014-05-06,432.2,430.9,435.0,420.2
2014-05-07,446.5,432.2,458.8,423.5
2014-05-08,441.1,446.5,455.5,439.5
2014-05-09,445.5,441.1,455.8,438.5
2014-05-10,451.9,445.5,459.5,441.4
2014-05-11,433.2,451.9,455.4,429.0
2014-05-12,438.2,433.2,441.1,430.2
2014-05-13,433.9,438.2,442.3,432.7
2014-05-14,442.6,433.9,444.3,433.9
2014-05-15,448.1,442.6,450.0,441.5
2014-05-16,453.6,448.1,455.1,441.9
2014-05-17,452.8,453.6,455.9,452.2
2014-05-18,450.1,452.8,454.0,449.0
2014-05-19,443.9,450.1,451.7,441.2
2014-05-20,484.6,443.9,486.2,437.3
2014-05-21,488.8,484.6,495.2,481.7
2014-05-22,515.4,488.8,519.3,485.5
2014-05-23,518.1,515.4,540.9,515.2
2014-05-24,520.5,518.1,526.7,510.4
2014-05-25,570.4,520.5,575.2,520.5
2014-05-26,582.0,570.4,586.4,564.7
2014-05-27,570.1,582.0,586.2,555.3
2014-05-28,570.8,570.1,581.8,562.6
2014-05-29,564.4,570.8,573.8,557.7
2014-05-30,612.3,564.4,613.3,564.0
2014-05-31,627.9,612.3,629.0,604.7
2014-06-01,649.8,627.9,675.0,622.0
2014-06-02,655.5,649.8,662.6,625.5
2014-06-03,669.4,655.5,676.5,631.4
2014-06-04,638.9,669.4,669.8,602.1
2014-06-05,660.2,638.9,665.4,635.6
2014-06-06,650.4,660.2,663.8,647.1
2014-06-07,651.7,650.4,659.8,641.0
2014-06-08,651.0,651.7,658.9,648.7
2014-06-09,644.3,651.0,652.1,639.1
2014-06-10,655.6,644.3,661.4,641.7
2014-06-11,643.0,655.6,663.0,642.3
2014-06-12,597.1,643.0,643.8,591.1
2014-06-13,610.3,597.1,619.1,594.9
2014-06-14,583.4,610.3,613.8,563.7
2014-06-15,582.3,583.4,587.8,560.8
2014-06-16,599.1,582.3,606.1,580.5
2014-06-17,605.1,599.1,608.4,594.9
2014-06-18,606.2,605.1,614.4,603.6
2014-06-19,600.2,606.2,612.6,598.7
2014-06-20,590.8,600.2,602.0,587.1
2014-06-21,597.0,590.8,599.2,584.8
2014-06-22,603.6,597.0,610.1,592.0
2014-06-23,591.2,603.6,604.7,582.9
2014-06-24,588.8,591.2,595.7,585.4
2014-06-25,568.5,588.8,589.6,566.9
2014-06-26,582.7,568.5,582.7,565.8
2014-06-27,602.2,582.7,603.9,580.1
2014-06-28,597.6,602.2,608.8,594.0
2014-06-29,601.1,597.6,604.3,593.2
2014-06-30,635.1,601.1,637.3,596.5
2014-07-01,643.2,635.1,652.5,634.1
2014-07-02,645.7,643.2,652.1,604.6
2014-07-03,638.0,645.7,646.4,633.6
2014-07-04,624.0,638.0,642.2,623.0
2014-07-05,623.0,624.0,627.8,619.7
2014-07-06,626.7,623.0,629.4,622.7
2014-07-07,613.6,626.7,627.9,607.3
2014-07-08,615.3,613.6,619.7,609.3
2014-07-09,623.0,615.3,623.8,610.5
2014-07-10,618.4,623.0,625.0,611.7
2014-07-11,632.9,618.4,633.6,616.1
2014-07-12,635.9,632.9,638.6,625.9
2014-07-13,628.0,635.9,638.6,627.5
2014-07-14,618.3,628.0,629.0,616.1
2014-07-15,619.6,618.3,624.4,617.3
2014-07-16,614.8,619.6,622.4,614.2
2014-07-17,626.6,614.8,632.5,610.0
2014-07-18,627.5,626.6,630.2,617.9
2014-07-19,627.0,627.5,634.1,625.1
2014-07-20,621.0,627.0,627.9,620.0
2014-07-21,625.1,621.0,625.9,615.0
2014-07-22,622.5,625.1,628.8,620.0
2014-07-23,621.7,622.5,625.0,621.0
2014-07-24,601.9,621.7,622.0,599.4
2014-07-25,600.5,601.9,609.1,597.4
2014-07-26,596.0,600.5,603.0,593.3
2014-07-27,595.0,596.0,601.5,593.7
2014-07-28,587.9,595.0,597.5,578.1
2014-07-29,585.8,587.9,591.3,579.5
2014-07-30,564.6,585.8,586.1,564.2
2014-07-31,589.5,564.6,593.7,564.0
2014-08-01,598.8,589.5,604.0,586.4
2014-08-02,591.7,598.8,598.9,587.4
2014-08-03,588.9,591.7,592.1,580.6
2014-08-04,592.8,588.9,595.1,586.5
2014-08-05,588.8,592.8,594.3,585.4
2014-08-06,589.8,588.8,593.8,587.2
2014-08-07,592.8,589.8,595.1,587.9
2014-08-08,595.8,592.8,608.2,592.1
2014-08-09,589.5,595.8,595.6,587.4
2014-08-10,592.1,589.5,596.6,588.1
2014-08-11,575.9,592.1,593.6,571.7
2014-08-12,567.7,575.9,578.3,562.0
2014-08-13,542.1,567.7,573.5,523.2
2014-08-14,504.8,542.1,544.9,495.9
2014-08-15,496.5,504.8,515.2,483.2
2014-08-16,522.0,496.5,524.3,483.2
2014-08-17,485.5,522.0,524.7,478.2
2014-08-18,462.2,485.5,493.3,450.0
2014-08-19,485.1,462.2,487.0,455.8
2014-08-20,516.8,485.1,521.8,468.5
