ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX
0.0,4.49,0.0,0.449,6.015,45.1,4.4272,3.0,247.0
0.0,4.49,0.0,0.449,6.121,56.8,3.7476,3.0,247.0
0.0,3.41,0.0,0.489,7.007,86.3,3.4217,2.0,270.0
0.0,3.41,0.0,0.489,7.079,63.1,3.4145,2.0,270.0
0.0,3.41,0.0,0.489,6.417,66.1,3.0923,2.0,270.0
0.0,3.41,0.0,0.489,6.405,73.9,3.0921,2.0,270.0
28.0,15.04,0.0,0.464,6.442,53.6,3.6659,4.0,270.0
28.0,15.04,0.0,0.464,6.211,28.9,3.6659,4.0,270.0
28.0,15.04,0.0,0.464,6.249,77.3,3.615,4.0,270.0
0.0,2.89,0.0,0.445,6.625,57.8,3.4952,2.0,276.0
0.0,2.89,0.0,0.445,6.163,69.6,3.4952,2.0,276.0
0.0,2.89,0.0,0.445,8.069,76.0,3.4952,2.0,276.0
0.0,2.89,0.0,0.445,7.82,36.9,3.4952,2.0,276.0
0.0,2.89,0.0,0.445,7.416,62.5,3.4952,2.0,276.0
0.0,8.56,0.0,0.52,6.727,79.9,2.7778,5.0,384.0
0.0,8.56,0.0,0.52,6.781,71.3,2.8561,5.0,384.0
0.0,8.56,0.0,0.52,6.405,85.4,2.7147,5.0,384.0
0.0,8.56,0.0,0.52,6.137,87.4,2.7147,5.0,384.0
0.0,8.56,0.0,0.52,6.167,90.0,2.421,5.0,384.0
0.0,8.56,0.0,0.52,5.851,96.7,2.1069,5.0,384.0
0.0,8.56,0.0,0.52,5.836,91.9,2.211,5.0,384.0
0.0,8.56,0.0,0.52,6.127,85.2,2.1224,5.0,384.0
0.0,8.56,0.0,0.52,6.474,97.1,2.4329,5.0,384.0
0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5.0,384.0
0.0,8.56,0.0,0.52,6.195,54.4,2.7778,5.0,384.0
0.0,10.01,0.0,0.547,6.715,81.6,2.6775,6.0,432.0
0.0,10.01,0.0,0.547,5.913,92.9,2.3534,6.0,432.0
0.0,10.01,0.0,0.547,6.092,95.4,2.548,6.0,432.0
0.0,10.01,0.0,0.547,6.254,84.2,2.2565,6.0,432.0
0.0,10.01,0.0,0.547,5.928,88.2,2.4631,6.0,432.0
0.0,10.01,0.0,0.547,6.176,72.5,2.7301,6.0,432.0
0.0,10.01,0.0,0.547,6.021,82.6,2.7474,6.0,432.0
0.0,10.01,0.0,0.547,5.872,73.1,2.4775,6.0,432.0
0.0,10.01,0.0,0.547,5.731,65.2,2.7592,6.0,432.0
0.0,25.65,0.0,0.581,5.87,69.7,2.2577,2.0,188.0
0.0,25.65,0.0,0.581,6.004,84.1,2.1974,2.0,188.0
0.0,25.65,0.0,0.581,5.961,92.9,2.0869,2.0,188.0
0.0,25.65,0.0,0.581,5.856,97.0,1.9444,2.0,188.0
0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2.0,188.0
0.0,25.65,0.0,0.581,5.986,88.4,1.9929,2.0,188.0
0.0,25.65,0.0,0.581,5.613,95.6,1.7572,2.0,188.0
0.0,21.89,0.0,0.624,5.693,96.0,1.7883,4.0,437.0
0.0,21.89,0.0,0.624,6.431,98.8,1.8125,4.0,437.0
0.0,21.89,0.0,0.624,5.637,94.7,1.9799,4.0,437.0
0.0,21.89,0.0,0.624,6.458,98.9,2.1185,4.0,437.0
0.0,21.89,0.0,0.624,6.326,97.7,2.271,4.0,437.0
0.0,21.89,0.0,0.624,6.372,97.9,2.3274,4.0,437.0
0.0,21.89,0.0,0.624,5.822,95.4,2.4699,4.0,437.0
0.0,21.89,0.0,0.624,5.757,98.4,2.346,4.0,437.0
0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4.0,437.0
0.0,21.89,0.0,0.624,5.942,93.5,1.9669,4.0,437.0
0.0,21.89,0.0,0.624,6.454,98.4,1.8498,4.0,437.0
0.0,21.89,0.0,0.624,5.857,98.2,1.6686,4.0,437.0
0.0,21.89,0.0,0.624,6.151,97.9,1.6687,4.0,437.0
0.0,21.89,0.0,0.624,6.174,93.6,1.6119,4.0,437.0
0.0,21.89,0.0,0.624,5.019,100.0,1.4394,4.0,437.0
0.0,19.58,1.0,0.871,5.403,100.0,1.3216,5.0,403.0
0.0,19.58,0.0,0.871,5.468,100.0,1.4118,5.0,403.0
0.0,19.58,0.0,0.871,4.903,97.8,1.3459,5.0,403.0
0.0,19.58,0.0,0.871,6.13,100.0,1.4191,5.0,403.0
0.0,19.58,0.0,0.871,5.628,100.0,1.5166,5.0,403.0
0.0,19.58,0.0,0.871,4.926,95.7,1.4608,5.0,403.0
0.0,19.58,0.0,0.871,5.186,93.8,1.5296,5.0,403.0
0.0,19.58,0.0,0.871,5.597,94.9,1.5257,5.0,403.0
0.0,19.58,0.0,0.871,6.122,97.3,1.618,5.0,403.0
0.0,19.58,0.0,0.871,5.404,100.0,1.5916,5.0,403.0
0.0,19.58,1.0,0.871,5.012,88.0,1.6102,5.0,403.0
0.0,19.58,0.0,0.871,5.709,98.5,1.6232,5.0,403.0
0.0,19.58,1.0,0.871,6.129,96.0,1.7494,5.0,403.0
0.0,19.58,1.0,0.871,6.152,82.6,1.7455,5.0,403.0
0.0,19.58,0.0,0.871,5.272,94.0,1.7364,5.0,403.0
0.0,19.58,0.0,0.605,6.943,97.4,1.8773,5.0,403.0
0.0,19.58,0.0,0.605,6.066,100.0,1.7573,5.0,403.0
0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5.0,403.0
0.0,19.58,1.0,0.605,6.25,92.6,1.7984,5.0,403.0
0.0,19.58,0.0,0.605,7.489,90.8,1.9709,5.0,403.0
0.0,19.58,1.0,0.605,7.802,98.2,2.0407,5.0,403.0
0.0,19.58,1.0,0.605,8.375,93.9,2.162,5.0,403.0
0.0,19.58,0.0,0.605,5.854,91.8,2.422,5.0,403.0
0.0,19.58,0.0,0.605,6.101,93.0,2.2834,5.0,403.0
0.0,19.58,0.0,0.605,7.929,96.2,2.0459,5.0,403.0
0.0,19.58,0.0,0.605,5.877,79.2,2.4259,5.0,403.0
0.0,19.58,0.0,0.605,6.319,96.1,2.1,5.0,403.0
0.0,19.58,0.0,0.605,6.402,95.2,2.2625,5.0,403.0
0.0,19.58,0.0,0.605,5.875,94.6,2.4259,5.0,403.0
0.0,19.58,0.0,0.605,5.88,97.3,2.3887,5.0,403.0
0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5.0,296.0
0.0,4.05,0.0,0.51,6.416,84.1,2.6463,5.0,296.0
0.0,4.05,0.0,0.51,5.859,68.7,2.7019,5.0,296.0
0.0,4.05,0.0,0.51,6.546,33.1,3.1323,5.0,296.0
0.0,4.05,0.0,0.51,6.02,47.2,3.5549,5.0,296.0
0.0,4.05,0.0,0.51,6.315,73.4,3.3175,5.0,296.0
0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5.0,296.0
0.0,2.46,0.0,0.488,6.98,58.4,2.829,3.0,193.0
0.0,2.46,0.0,0.488,7.765,83.3,2.741,3.0,193.0
0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3.0,193.0
0.0,2.46,0.0,0.488,7.155,92.2,2.7006,3.0,193.0
0.0,2.46,0.0,0.488,6.563,95.6,2.847,3.0,193.0
0.0,2.46,0.0,0.488,5.604,89.8,2.9879,3.0,193.0
0.0,2.46,0.0,0.488,6.153,68.8,3.2797,3.0,193.0
0.0,2.46,0.0,0.488,7.831,53.6,3.1992,3.0,193.0
45.0,3.44,0.0,0.437,6.782,41.1,3.7886,5.0,398.0
45.0,3.44,0.0,0.437,6.556,29.1,4.5667,5.0,398.0
45.0,3.44,0.0,0.437,7.185,38.9,4.5667,5.0,398.0
45.0,3.44,0.0,0.437,6.951,21.5,6.4798,5.0,398.0
45.0,3.44,0.0,0.437,6.739,30.8,6.4798,5.0,398.0
45.0,3.44,0.0,0.437,7.178,26.3,6.4798,5.0,398.0
60.0,2.93,0.0,0.401,6.8,9.9,6.2196,1.0,265.0
60.0,2.93,0.0,0.401,6.604,18.8,6.2196,1.0,265.0
80.0,0.46,0.0,0.422,7.875,32.0,5.6484,4.0,255.0
80.0,1.52,0.0,0.404,7.287,34.1,7.309,2.0,329.0
80.0,1.52,0.0,0.404,7.107,36.6,7.309,2.0,329.0
80.0,1.52,0.0,0.404,7.274,38.3,7.309,2.0,329.0
95.0,1.47,0.0,0.403,6.975,15.3,7.6534,3.0,402.0
95.0,1.47,0.0,0.403,7.135,13.9,7.6534,3.0,402.0
82.5,2.03,0.0,0.415,6.162,38.4,6.27,2.0,348.0
82.5,2.03,0.0,0.415,7.61,15.7,6.27,2.0,348.0
95.0,2.68,0.0,0.4161,7.853,33.2,5.118,4.0,224.0
95.0,2.68,0.0,0.4161,8.034,31.9,5.118,4.0,224.0
0.0,10.59,0.0,0.489,5.891,22.3,3.9454,4.0,277.0
0.0,10.59,0.0,0.489,6.326,52.5,4.3549,4.0,277.0
0.0,10.59,0.0,0.489,5.783,72.7,4.3549,4.0,277.0
0.0,10.59,1.0,0.489,6.064,59.1,4.2392,4.0,277.0
0.0,10.59,1.0,0.489,5.344,100.0,3.875,4.0,277.0
0.0,10.59,1.0,0.489,5.96,92.1,3.8771,4.0,277.0
0.0,10.59,1.0,0.489,5.404,88.6,3.665,4.0,277.0
0.0,10.59,1.0,0.489,5.807,53.8,3.6526,4.0,277.0
0.0,10.59,0.0,0.489,6.375,32.3,3.9454,4.0,277.0
0.0,10.59,0.0,0.489,5.412,9.8,3.5875,4.0,277.0
0.0,10.59,0.0,0.489,6.182,42.4,3.9454,4.0,277.0
0.0,13.89,1.0,0.55,5.888,56.0,3.1121,5.0,276.0
0.0,13.89,0.0,0.55,6.642,85.1,3.4211,5.0,276.0
0.0,13.89,1.0,0.55,5.951,93.8,2.8893,5.0,276.0
0.0,13.89,1.0,0.55,6.373,92.4,3.3633,5.0,276.0
0.0,6.2,1.0,0.507,6.951,88.5,2.8617,8.0,307.0
0.0,6.2,1.0,0.507,6.164,91.3,3.048,8.0,307.0
0.0,6.2,1.0,0.507,6.879,77.7,3.2721,8.0,307.0
0.0,6.2,0.0,0.507,6.618,80.8,3.2721,8.0,307.0
0.0,6.2,0.0,0.504,8.266,78.3,2.8944,8.0,307.0
0.0,6.2,0.0,0.504,8.725,83.0,2.8944,8.0,307.0
0.0,6.2,0.0,0.504,8.04,86.5,3.2157,8.0,307.0
0.0,6.2,0.0,0.504,7.163,79.9,3.2157,8.0,307.0
0.0,6.2,0.0,0.504,7.686,17.0,3.3751,8.0,307.0
0.0,6.2,0.0,0.504,6.552,21.4,3.3751,8.0,307.0
0.0,6.2,0.0,0.504,5.981,68.1,3.6715,8.0,307.0
0.0,6.2,0.0,0.504,7.412,76.9,3.6715,8.0,307.0
0.0,6.2,0.0,0.507,8.337,73.3,3.8384,8.0,307.0
0.0,6.2,0.0,0.507,8.247,70.4,3.6519,8.0,307.0
0.0,6.2,1.0,0.507,6.726,66.5,3.6519,8.0,307.0
0.0,6.2,0.0,0.507,6.086,61.5,3.6519,8.0,307.0
0.0,6.2,1.0,0.507,6.631,76.5,4.148,8.0,307.0
0.0,6.2,0.0,0.507,7.358,71.6,4.148,8.0,307.0
30.0,4.93,0.0,0.428,6.481,18.5,6.1899,6.0,300.0
30.0,4.93,0.0,0.428,6.606,42.2,6.1899,6.0,300.0
30.0,4.93,0.0,0.428,6.897,54.3,6.3361,6.0,300.0
30.0,4.93,0.0,0.428,6.095,65.1,6.3361,6.0,300.0
30.0,4.93,0.0,0.428,6.358,52.9,7.0355,6.0,300.0
30.0,4.93,0.0,0.428,6.393,7.8,7.0355,6.0,300.0
22.0,5.86,0.0,0.431,5.593,76.5,7.9549,7.0,330.0
22.0,5.86,0.0,0.431,5.605,70.2,7.9549,7.0,330.0
22.0,5.86,0.0,0.431,6.108,34.9,8.0555,7.0,330.0
22.0,5.86,0.0,0.431,6.226,79.2,8.0555,7.0,330.0
22.0,5.86,0.0,0.431,6.433,49.1,7.8265,7.0,330.0
22.0,5.86,0.0,0.431,6.718,17.5,7.8265,7.0,330.0
22.0,5.86,0.0,0.431,6.487,13.0,7.3967,7.0,330.0
22.0,5.86,0.0,0.431,6.438,8.9,7.3967,7.0,330.0
22.0,5.86,0.0,0.431,6.957,6.8,8.9067,7.0,330.0
22.0,5.86,0.0,0.431,8.259,8.4,8.9067,7.0,330.0
80.0,3.64,0.0,0.392,6.108,32.0,9.2203,1.0,315.0
80.0,3.64,0.0,0.392,5.876,19.1,9.2203,1.0,315.0
90.0,3.75,0.0,0.394,7.454,34.2,6.3361,3.0,244.0
20.0,3.97,0.0,0.647,8.704,86.9,1.801,5.0,264.0
20.0,3.97,0.0,0.647,7.333,100.0,1.8946,5.0,264.0
20.0,3.97,0.0,0.647,6.842,100.0,2.0107,5.0,264.0
20.0,3.97,0.0,0.647,7.203,81.8,2.1121,5.0,264.0
20.0,3.97,0.0,0.647,7.52,89.4,2.1398,5.0,264.0
20.0,3.97,0.0,0.647,8.398,91.5,2.2885,5.0,264.0
20.0,3.97,0.0,0.647,7.327,94.5,2.0788,5.0,264.0
20.0,3.97,0.0,0.647,7.206,91.6,1.9301,5.0,264.0
20.0,3.97,0.0,0.647,5.56,62.8,1.9865,5.0,264.0
20.0,3.97,0.0,0.647,7.014,84.6,2.1329,5.0,264.0
20.0,3.97,0.0,0.575,8.297,67.0,2.4216,5.0,264.0
20.0,3.97,0.0,0.575,7.47,52.6,2.872,5.0,264.0
20.0,6.96,1.0,0.464,5.92,61.5,3.9175,3.0,223.0
20.0,6.96,0.0,0.464,5.856,42.1,4.429,3.0,223.0
20.0,6.96,0.0,0.464,6.24,16.3,4.429,3.0,223.0
20.0,6.96,0.0,0.464,6.538,58.7,3.9175,3.0,223.0
20.0,6.96,1.0,0.464,7.691,51.8,4.3665,3.0,223.0
40.0,6.41,1.0,0.447,6.758,32.9,4.0776,4.0,254.0
40.0,6.41,0.0,0.447,6.854,42.8,4.2673,4.0,254.0
40.0,6.41,1.0,0.447,7.267,49.0,4.7872,4.0,254.0
40.0,6.41,1.0,0.447,6.826,27.6,4.8628,4.0,254.0
40.0,6.41,0.0,0.447,6.482,32.1,4.1403,4.0,254.0
20.0,3.33,0.0,0.4429,6.812,32.2,4.1007,5.0,216.0
20.0,3.33,0.0,0.4429,7.82,64.5,4.6947,5.0,216.0
20.0,3.33,0.0,0.4429,6.968,37.2,5.2447,5.0,216.0
20.0,3.33,1.0,0.4429,7.645,49.7,5.2119,5.0,216.0
90.0,1.21,1.0,0.401,7.923,24.8,5.885,1.0,198.0
90.0,2.97,0.0,0.4,7.088,20.8,7.3073,1.0,285.0
55.0,2.25,0.0,0.389,6.453,31.9,7.3073,1.0,300.0
80.0,1.76,0.0,0.385,6.23,31.5,9.0892,1.0,241.0
52.5,5.32,0.0,0.405,6.209,31.3,7.3172,6.0,293.0
52.5,5.32,0.0,0.405,6.315,45.6,7.3172,6.0,293.0
52.5,5.32,0.0,0.405,6.565,22.9,7.3172,6.0,293.0
80.0,4.95,0.0,0.411,6.861,27.9,5.1167,4.0,245.0
80.0,4.95,0.0,0.411,7.148,27.7,5.1167,4.0,245.0
80.0,4.95,0.0,0.411,6.63,23.4,5.1167,4.0,245.0
0.0,13.92,0.0,0.437,6.127,18.4,5.5027,4.0,289.0
0.0,13.92,0.0,0.437,6.009,42.3,5.5027,4.0,289.0
0.0,13.92,0.0,0.437,6.678,31.1,5.9604,4.0,289.0
0.0,13.92,0.0,0.437,6.549,51.0,5.9604,4.0,289.0
0.0,13.92,0.0,0.437,5.79,58.0,6.32,4.0,289.0
70.0,2.24,0.0,0.4,6.345,20.1,7.8278,5.0,358.0
70.0,2.24,0.0,0.4,7.041,10.0,7.8278,5.0,358.0
70.0,2.24,0.0,0.4,6.871,47.4,7.8278,5.0,358.0
34.0,6.09,0.0,0.433,6.59,40.4,5.4917,7.0,329.0
34.0,6.09,0.0,0.433,6.495,18.4,5.4917,7.0,329.0
34.0,6.09,0.0,0.433,6.982,17.7,5.4917,7.0,329.0
33.0,2.18,0.0,0.472,7.236,41.1,4.022,7.0,222.0
33.0,2.18,0.0,0.472,6.616,58.1,3.37,7.0,222.0
33.0,2.18,0.0,0.472,7.42,71.9,3.0992,7.0,222.0
33.0,2.18,0.0,0.472,6.849,70.3,3.1827,7.0,222.0
0.0,9.9,0.0,0.544,6.635,82.5,3.3175,4.0,304.0
0.0,9.9,0.0,0.544,5.972,76.7,3.1025,4.0,304.0
0.0,9.9,0.0,0.544,4.973,37.8,2.5194,4.0,304.0
0.0,9.9,0.0,0.544,6.122,52.8,2.6403,4.0,304.0
0.0,9.9,0.0,0.544,6.023,90.4,2.834,4.0,304.0
0.0,9.9,0.0,0.544,6.266,82.8,3.2628,4.0,304.0
0.0,9.9,0.0,0.544,6.567,87.3,3.6023,4.0,304.0
0.0,9.9,0.0,0.544,5.705,77.7,3.945,4.0,304.0
0.0,9.9,0.0,0.544,5.914,83.2,3.9986,4.0,304.0
0.0,9.9,0.0,0.544,5.782,71.7,4.0317,4.0,304.0
0.0,9.9,0.0,0.544,6.382,67.2,3.5325,4.0,304.0
0.0,9.9,0.0,0.544,6.113,58.8,4.0019,4.0,304.0
0.0,7.38,0.0,0.493,6.426,52.3,4.5404,5.0,287.0
0.0,7.38,0.0,0.493,6.376,54.3,4.5404,5.0,287.0
0.0,7.38,0.0,0.493,6.041,49.9,4.7211,5.0,287.0
0.0,7.38,0.0,0.493,5.708,74.3,4.7211,5.0,287.0
0.0,7.38,0.0,0.493,6.415,40.1,4.7211,5.0,287.0
0.0,7.38,0.0,0.493,6.431,14.7,5.4159,5.0,287.0
0.0,7.38,0.0,0.493,6.312,28.9,5.4159,5.0,287.0
0.0,7.38,0.0,0.493,6.083,43.7,5.4159,5.0,287.0
0.0,3.24,0.0,0.46,5.868,25.8,5.2146,4.0,430.0
0.0,3.24,0.0,0.46,6.333,17.2,5.2146,4.0,430.0
0.0,3.24,0.0,0.46,6.144,32.2,5.8736,4.0,430.0
35.0,6.06,0.0,0.4379,5.706,28.4,6.6407,1.0,304.0
35.0,6.06,0.0,0.4379,6.031,23.3,6.6407,1.0,304.0
0.0,5.19,0.0,0.515,6.316,38.1,6.4584,5.0,224.0
0.0,5.19,0.0,0.515,6.31,38.5,6.4584,5.0,224.0
0.0,5.19,0.0,0.515,6.037,34.5,5.9853,5.0,224.0
0.0,5.19,0.0,0.515,5.869,46.3,5.2311,5.0,224.0
0.0,5.19,0.0,0.515,5.895,59.6,5.615,5.0,224.0
0.0,5.19,0.0,0.515,6.059,37.3,4.8122,5.0,224.0
0.0,5.19,0.0,0.515,5.985,45.4,4.8122,5.0,224.0
0.0,5.19,0.0,0.515,5.968,58.5,4.8122,5.0,224.0
35.0,1.52,0.0,0.442,7.241,49.3,7.0379,1.0,284.0
0.0,1.89,0.0,0.518,6.54,59.7,6.2669,1.0,422.0
55.0,3.78,0.0,0.484,6.696,56.4,5.7321,5.0,370.0
55.0,3.78,0.0,0.484,6.874,28.1,6.4654,5.0,370.0
0.0,4.39,0.0,0.442,6.014,48.5,8.0136,3.0,352.0
0.0,4.39,0.0,0.442,5.898,52.3,8.0136,3.0,352.0
85.0,4.15,0.0,0.429,6.516,27.7,8.5353,4.0,351.0
80.0,2.01,0.0,0.435,6.635,29.7,8.344,4.0,280.0
40.0,1.25,0.0,0.429,6.939,34.5,8.7921,1.0,335.0
40.0,1.25,0.0,0.429,6.49,44.4,8.7921,1.0,335.0
60.0,1.69,0.0,0.411,6.579,35.9,10.7103,4.0,411.0
60.0,1.69,0.0,0.411,5.884,18.5,10.7103,4.0,411.0
90.0,2.02,0.0,0.41,6.728,36.1,12.1265,5.0,187.0
80.0,1.91,0.0,0.413,5.663,21.9,10.5857,4.0,334.0
80.0,1.91,0.0,0.413,5.936,19.5,10.5857,4.0,334.0
0.0,18.1,1.0,0.77,6.212,97.4,2.1222,24.0,666.0
0.0,18.1,1.0,0.77,6.395,91.0,2.5052,24.0,666.0
0.0,18.1,1.0,0.77,6.127,83.4,2.7227,24.0,666.0
0.0,18.1,0.0,0.77,6.112,81.3,2.5091,24.0,666.0
0.0,18.1,0.0,0.77,6.398,88.0,2.5182,24.0,666.0
0.0,18.1,0.0,0.77,6.251,91.1,2.2955,24.0,666.0
0.0,18.1,0.0,0.77,5.362,96.2,2.1036,24.0,666.0
0.0,18.1,1.0,0.77,5.803,89.0,1.9047,24.0,666.0
0.0,18.1,1.0,0.718,8.78,82.9,1.9047,24.0,666.0
0.0,18.1,0.0,0.718,3.561,87.9,1.6132,24.0,666.0
0.0,18.1,0.0,0.718,4.963,91.4,1.7523,24.0,666.0
0.0,18.1,0.0,0.631,3.863,100.0,1.5106,24.0,666.0
0.0,18.1,0.0,0.631,4.97,100.0,1.3325,24.0,666.0
0.0,18.1,1.0,0.631,6.683,96.8,1.3567,24.0,666.0
0.0,18.1,1.0,0.631,7.016,97.5,1.2024,24.0,666.0
0.0,18.1,0.0,0.631,6.216,100.0,1.1691,24.0,666.0
0.0,18.1,1.0,0.668,5.875,89.6,1.1296,24.0,666.0
0.0,18.1,0.0,0.668,4.906,100.0,1.1742,24.0,666.0
0.0,18.1,0.0,0.668,4.138,100.0,1.137,24.0,666.0
0.0,18.1,0.0,0.671,7.313,97.9,1.3163,24.0,666.0
0.0,18.1,0.0,0.671,6.649,93.3,1.3449,24.0,666.0
